# cov
3.84968e+06  1482.82      2742.46      593.813      497.368      296.804      217.791      63.9417      53.65        47.3223      -13.4791     12.3044      8.6556       3.28107      2.12092     
1482.82      14636.8      689.567      673.437      488.415      307.253      179.662      100.056      50.4754      21.9996      8.38989      3.42972      1.3563       0.561061     0.22979     
2742.46      689.567      7233.81      580.269      446.738      297.084      172.908      94.3529      48.7047      20.1983      9.09434      3.35789      0.791893     0.477785     0.213124    
593.813      673.437      580.269      3205.88      401.037      267.32       156.032      86.113       43.6645      19.1297      8.25429      2.81717      1.11373      0.572397     0.11954     
497.368      488.415      446.738      401.037      1183.87      224.6        134.209      73.5707      37.4774      16.1388      7.04477      2.69132      1.12911      0.471826     0.195075    
296.804      307.253      297.084      267.32       224.6        509.514      103.354      57.8646      29.54        13.8285      5.62358      2.3575       1.0254       0.388152     0.204195    
217.791      179.662      172.908      156.032      134.209      103.354      218.487      40.7167      21.207       9.85297      4.19947      1.72718      0.744099     0.305285     0.157844    
63.9417      100.056      94.3529      86.113       73.5707      57.8646      40.7167      91.0855      13.4785      6.46964      2.77367      1.23193      0.509866     0.211712     0.108894    
53.65        50.4754      48.7047      43.6645      37.4774      29.54        21.207       13.4785      35.7444      4.08423      1.72208      0.761265     0.307433     0.136633     0.0657684   
47.3223      21.9996      20.1983      19.1297      16.1388      13.8285      9.85297      6.46964      4.08423      13.9238      1.1583       0.473689     0.215293     0.0946436    0.0385433   
-13.4791     8.38989      9.09434      8.25429      7.04477      5.62358      4.19947      2.77367      1.72208      1.1583       5.55417      0.369465     0.137655     0.0510492    0.0309942   
12.3044      3.42972      3.35789      2.81717      2.69132      2.3575       1.72718      1.23193      0.761265     0.473689     0.369465     2.35341      0.147941     0.0493345    0.0190136   
8.6556       1.3563       0.791893     1.11373      1.12911      1.0254       0.744099     0.509866     0.307433     0.215293     0.137655     0.147941     1.04472      0.0816778    0.0238799   
3.28107      0.561061     0.477785     0.572397     0.471826     0.388152     0.305285     0.211712     0.136633     0.0946436    0.0510492    0.0493345    0.0816778    0.490306     0.0510501   
2.12092      0.22979      0.213124     0.11954      0.195075     0.204195     0.157844     0.108894     0.0657684    0.0385433    0.0309942    0.0190136    0.0238799    0.0510501    0.248046    
