# cov
1189.96      -32.3199     52.5607      62.4341      -21.9107     23.699       -2.30241     0.912412     -2.66755     -2.51439     0.017613    
-32.3199     363.479      31.9174      41.7942      16.9684      -9.05621     -0.152309    0.245844     -5.12555     -2.39858     -2.10027    
52.5607      31.9174      192.045      22.7262      10.6049      3.74305      -6.87563     -0.932485    -1.97196     1.72926      -0.811942   
62.4341      41.7942      22.7262      60.7418      5.00622      3.12315      -1.5926      -0.525191    -1.29702     -0.180334    -0.235663   
-21.9107     16.9684      10.6049      5.00622      28.7411      0.890925     -2.28429     -0.0188742   -0.409445    0.19375      -0.388118   
23.699       -9.05621     3.74305      3.12315      0.890925     12.2719      2.15779      1.14105      0.222284     0.278135     0.140075    
-2.30241     -0.152309    -6.87563     -1.5926      -2.28429     2.15779      5.5191       0.934895     0.34217      -0.183382    -0.056579   
0.912412     0.245844     -0.932485    -0.525191    -0.0188742   1.14105      0.934895     2.46697      0.466497     0.0593683    -0.0361464  
-2.66755     -5.12555     -1.97196     -1.29702     -0.409445    0.222284     0.34217      0.466497     1.27693      0.086104     0.0353519   
-2.51439     -2.39858     1.72926      -0.180334    0.19375      0.278135     -0.183382    0.0593683    0.086104     0.543384     0.0386125   
0.017613     -2.10027     -0.811942    -0.235663    -0.388118    0.140075     -0.056579    -0.0361464   0.0353519    0.0386125    0.295414    
